,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category
0,Co-op City,40.874294193030146,-73.82993910812405,4be2b79d660ec9284d04ca3b,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant
1,Eastchester,40.88755567735082,-73.82780644716419,4c406f2e6c1a9521a042b96a,McDonald's,40.88563631373264,-73.82683955509486,Burger Joint
2,Kingsbridge,40.881687371205246,-73.90281798724611,55568a71498e3524400a356e,Smashburger,40.8842208517097,-73.90033254824955,Burger Joint
3,Kingsbridge,40.881687371205246,-73.90281798724611,4b3789f3f964a520f34125e3,Riverdale Diner,40.88518285486937,-73.89948352054364,Diner
4,Kingsbridge,40.881687371205246,-73.90281798724611,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
5,Kingsbridge,40.881687371205246,-73.90281798724611,59b17fe23b4e0043787e1a7c,The Bronx Public,40.87837659295958,-73.90348117090952,Pub
6,Kingsbridge,40.881687371205246,-73.90281798724611,50213c8ee4b0d4185728e3b5,The Stand,40.8802,-73.906859,Burger Joint
7,Kingsbridge,40.881687371205246,-73.90281798724611,57f93740cd10b5d065ea961a,Dale Diner,40.878747814733146,-73.90420772832397,Diner
8,Marble Hill,40.87655077879968,-73.91065965862988,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463309788,-73.90587282193539,Seafood Restaurant
9,Marble Hill,40.87655077879968,-73.91065965862988,52b346c311d20f236abf04f6,Artuso's Pizza & Pasta,40.87404335982298,-73.91038620930443,Burger Joint
10,Marble Hill,40.87655077879968,-73.91065965862988,4b5e451cf964a520f58629e3,Applebee's Grill + Bar,40.87368548,-73.90892769,American Restaurant
11,Woodlawn,40.89827261213809,-73.86731496814183,46212cb5f964a5208d451fe3,Rambling House,40.898439240536966,-73.86719657644849,Pub
12,Norwood,40.87722415599449,-73.87939073956818,4bb626e0f562ef3b2fb32f97,Sal's Pizzeria,40.875269350530566,-73.87956260705728,Pizza Place
13,Norwood,40.87722415599449,-73.87939073956818,4c6d5ce5e6b7b1f7af76a98e,Nicky's Coffee Shop,40.874932786273384,-73.87940404957489,Coffee Shop
14,Norwood,40.87722415599449,-73.87939073956818,5a94ca8e2c7eb95db51baff4,Pizza & Burgers,40.879197,-73.874648,Burger Joint
15,Baychester,40.86685810725274,-73.83579759808124,4c7ffaf374d7b60c3a7569d8,BK co op city,40.8658593,-73.8351668,Burger Joint
16,Baychester,40.86685810725274,-73.83579759808124,4e4df308bd4101d0d79ee399,Rally's,40.867745,-73.831241,Burger Joint
