,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,lats,lngs,Category,Count,Rating
7,Marble Hill,40.87655078,-73.91065966,4b5e451cf964a520f58629e3,Applebee's Grill + Bar,40.87368548,-73.90892769,American Restaurant,46,5.4
11,Baychester,40.86685811,-73.8357976,4ac18d7ff964a5207a9720e3,TGI Fridays,40.86318918,-73.83380672,American Restaurant,55,5.9
21,Fordham,40.8609968,-73.89642656,4adba246f964a520962921e3,Applebee's Grill + Bar,40.86014004,-73.89111321,American Restaurant,33,5.5
22,Fordham,40.8609968,-73.89642656,4adba246f964a520962921e3,Applebee's Grill + Bar,40.86014004,-73.89111321,American Restaurant,33,5.5
30,Throgs Neck,40.81510926,-73.81635002,4bf471c198ac0f47190664a8,Muscle Maker Grill,40.81939123,-73.81729768,American Restaurant,18,9.1
31,Throgs Neck,40.81510926,-73.81635002,4bf471c198ac0f47190664a8,Muscle Maker Grill,40.81939123,-73.81729768,American Restaurant,18,9.1
48,Bay Ridge,40.62580107,-74.03062069,4a9892a0f964a520be2c20e3,Cappuccino Cafe,40.62951041,-74.02853892,American Restaurant,10,6.2
51,Greenpoint,40.73020098,-73.95424093,4a5a78f1f964a52064ba1fe3,Anella,40.73327192,-73.95801949,American Restaurant,142,8.8
56,Greenpoint,40.73020098,-73.95424093,54283abd498e920cadc9692d,Slick Willie,40.72826009,-73.94946277,American Restaurant,12,6.9
59,Greenpoint,40.73020098,-73.95424093,4d1f7a7a8629224bb46a0b87,Garden Spot Cafe,40.73342101,-73.95820729,American Restaurant,7,5.6
64,Sheepshead Bay,40.58689013,-73.9431864,4b480401f964a520614626e3,Applebee's Grill + Bar,40.58388785,-73.94323487,American Restaurant,23,6.5
70,Windsor Terrace,40.65694584,-73.9800734,5361a097498e40a31baa411c,Krupa Grocery,40.65995717,-73.9806957,American Restaurant,46,8.5
73,Prospect Heights,40.67682226,-73.96485924,50d5e0fce4b01e0c6330f7a1,Sunshine Co.,40.6746725,-73.96332179,American Restaurant,79,7.9
76,Prospect Heights,40.67682226,-73.96485924,5a1cc6a0e179105d3a0670e0,MeMeŠ—Ès Diner,40.67767949,-73.96374983,American Restaurant,23,7.6
77,Prospect Heights,40.67682226,-73.96485924,4adcc0a7f964a520702f21e3,The Vanderbilt,40.67951778,-73.96836851,American Restaurant,141,7
96,Brooklyn Heights,40.69586372,-73.99378225,4471bf9af964a5209c331fe3,Jack the Horse Tavern,40.69993967,-73.99363891,American Restaurant,88,8.4
97,Brooklyn Heights,40.69586372,-73.99378225,3fd66200f964a52057ee1ee3,Heights Cafe,40.69520082,-73.99589276,American Restaurant,51,6.5
106,Cobble Hill,40.68791972,-73.99856139,4cbf097828d176b0a7c6226e,Colonie,40.69073324,-73.99596314,American Restaurant,233,9.2
109,Cobble Hill,40.68791972,-73.99856139,4a065aecf964a520ef721fe3,Watty & Meg,40.68556215,-73.99442741,American Restaurant,70,7.3
120,Red Hook,40.67625323,-74.01275897,4a412995f964a520daa41fe3,Fort Defiance,40.67679024,-74.01354759,American Restaurant,196,8.8
121,Red Hook,40.67625323,-74.01275897,5201821b498e3b3d43013e0d,Grindhaus,40.67923457,-74.01067398,American Restaurant,15,8.7
124,Gowanus,40.67393114,-73.99444087,49c7bfecf964a520bb571fe3,Buttermilk Channel,40.67592445,-73.99906984,American Restaurant,360,8.9
131,Fort Greene,40.68852726,-73.97290574,4aa29b03f964a520f44120e3,No. 7,40.685916,-73.97316784,American Restaurant,163,8.5
134,Fort Greene,40.68852726,-73.97290574,5674a0d0498e6700e5d5d699,The Quarter,40.68733138,-73.97485337,American Restaurant,19,7
145,Park Slope,40.67232052,-73.9770503,4e45bca962845e1d3c88924e,Kiwiana,40.67455921,-73.97574156,American Restaurant,63,8
158,Gerritsen Beach,40.59084843,-73.93010171,4a4e253df964a52027ae1fe3,TGI Fridays,40.58689754,-73.92893449,American Restaurant,43,6
