,Venue,Venue Category,Venue ID,Venue Latitude,Venue Longitude,id
0,Townhouse Restaurant,40.876085887834265,4be2b79d660ec9284d04ca3b,-73.82886815052547,Restaurant,69661369
1,Townhouse Restaurant,40.876085887834265,4be2b79d660ec9284d04ca3b,-73.82886815052547,Restaurant,13000277
2,Townhouse Restaurant,40.876085887834265,4be2b79d660ec9284d04ca3b,-73.82886815052547,Restaurant,100835956
3,McDonald's,40.88563631373264,4c406f2e6c1a9521a042b96a,-73.82683955509486,Burger Joint,89243384
4,Smashburger,40.884220851709706,55568a71498e3524400a356e,-73.90033254824955,Burger Joint,102549100
5,Smashburger,40.884220851709706,55568a71498e3524400a356e,-73.90033254824955,Burger Joint,2073356
6,Smashburger,40.884220851709706,55568a71498e3524400a356e,-73.90033254824955,Burger Joint,2365777
7,Riverdale Diner,40.88518285486936,4b3789f3f964a520f34125e3,-73.89948352054364,Diner,151809450
8,Riverdale Diner,40.88518285486936,4b3789f3f964a520f34125e3,-73.89948352054364,Diner,419529746
9,Land & Sea Restaurant,40.87788463309789,4b9c9c6af964a520b27236e3,-73.90587282193539,Seafood Restaurant,426997816
10,Land & Sea Restaurant,40.87788463309789,4b9c9c6af964a520b27236e3,-73.90587282193539,Seafood Restaurant,2276062
11,Land & Sea Restaurant,40.87788463309789,4b9c9c6af964a520b27236e3,-73.90587282193539,Seafood Restaurant,29263123
12,The Bronx Public,40.87837659295958,59b17fe23b4e0043787e1a7c,-73.90348117090952,Pub,88029179
13,The Bronx Public,40.87837659295958,59b17fe23b4e0043787e1a7c,-73.90348117090952,Pub,19407199
14,The Bronx Public,40.87837659295958,59b17fe23b4e0043787e1a7c,-73.90348117090952,Pub,1411057
15,Dale Diner,40.878747814733146,57f93740cd10b5d065ea961a,-73.90420772832397,Diner,37916404
16,Dale Diner,40.878747814733146,57f93740cd10b5d065ea961a,-73.90420772832397,Diner,14916840
17,Artuso's Pizza & Pasta,40.87404335982298,52b346c311d20f236abf04f6,-73.91038620930443,Burger Joint,2539580
18,Applebee's Grill + Bar,40.87368548,4b5e451cf964a520f58629e3,-73.90892769,American Restaurant,2798702
