,Neighborhood,Venue,Neighborhood Latitude,Neighborhood Longitude,Rating,Tip Count,Like Count
0,Bath Beach,4,40.599518702822415,-73.99875221443526,7.1000000000000005,43,10
1,Bay Ridge,4,40.625801065010684,-74.0306206935382,7.0,118,11
2,Baychester,1,40.86685810725274,-73.83579759808124,5.9,55,1
3,Bedford Park,2,40.87018516497537,-73.88551218419138,7.4,27,6
4,Bedford Stuyvesant,1,40.6872316077205,-73.94178488690305,8.8,241,3
5,Belmont,2,40.857277100738976,-73.88845196134812,7.1,29,6
6,Boerum Hill,5,40.687241380657376,-73.98357724689187,8.28,436,15
7,Brighton Beach,1,40.57682506566609,-73.96509448785343,6.5,1,2
8,Brooklyn Heights,10,40.695863722724134,-73.99378225496433,7.19,531,26
9,Bushwick,4,40.69811611017905,-73.92525797487053,7.45,82,11
10,Carroll Gardens,6,40.682131885641844,-74.00037274122077,8.0,294,18
11,Central Harlem,3,40.81597606742418,-73.94321112603912,7.033333333333334,100,7
12,Chinatown,11,40.71561842231437,-73.99427936255984,7.945454545454546,945,30
13,City Island,2,40.84724670491817,-73.7864884526742,7.2,12,5
14,City Line,1,40.67856995727482,-73.86797598081344,6.3,2,3
15,Clinton,12,40.75833368690639,-73.99640768221387,7.391666666666666,1441,35
16,Clinton Hill,8,40.69322942188155,-73.96784306216374,7.687500000000001,286,23
17,Co-op City,1,40.874294193030146,-73.82993910812405,5.8,5,3
18,Cobble Hill,8,40.68791972248561,-73.9985613921847,7.824999999999999,737,22
19,Crown Heights,2,40.67082917695298,-73.9432911907359,6.6,21,6
20,Downtown,14,40.69084402109807,-73.98346337431109,7.121428571428571,1234,36
21,Dyker Heights,2,40.61921945772268,-74.01931375636029,7.2,21,6
22,East Harlem,6,40.79224946663037,-73.94418223148533,7.050000000000001,132,15
23,East Tremont,2,40.84269615786057,-73.88735617532346,7.300000000000001,21,2
24,East Williamsburg,3,40.70849241041552,-73.93885815269203,8.266666666666666,200,7
25,Eastchester,1,40.88755567735082,-73.82780644716419,6.0,10,1
26,Edgewater Park,1,40.82198611816354,-73.81388514428627,7.6,19,3
27,Flatlands,1,40.6304460437575,-73.92911302644681,6.4,2,3
28,Fordham,6,40.86099679638658,-73.89642655981629,6.283333333333334,64,15
29,Fort Greene,9,40.68852726018981,-73.97290574369099,7.477777777777779,605,27
30,Fort Hamilton,4,40.614768126942295,-74.0319791453799,7.875000000000001,116,10
