,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue ID,Venue,Venue Latitude,Venue Longitude,Venue Category,Tip Count,Rating,Like Count
0,Co-op City,40.874294193030146,-73.82993910812405,4be2b79d660ec9284d04ca3b,Townhouse Restaurant,40.876085887834265,-73.82886815052547,Restaurant,5,5.8,3
1,Eastchester,40.88755567735082,-73.82780644716419,4c406f2e6c1a9521a042b96a,McDonald's,40.88563631373264,-73.82683955509486,Burger Joint,10,6.0,1
2,Kingsbridge,40.881687371205246,-73.90281798724611,55568a71498e3524400a356e,Smashburger,40.884220851709706,-73.90033254824955,Burger Joint,8,8.4,3
3,Kingsbridge,40.881687371205246,-73.90281798724611,4b3789f3f964a520f34125e3,Riverdale Diner,40.88518285486936,-73.89948352054364,Diner,52,7.8,2
4,Kingsbridge,40.881687371205246,-73.90281798724611,4b9c9c6af964a520b27236e3,Land & Sea Restaurant,40.87788463309789,-73.90587282193539,Seafood Restaurant,19,7.7,3
5,Kingsbridge,40.881687371205246,-73.90281798724611,59b17fe23b4e0043787e1a7c,The Bronx Public,40.87837659295958,-73.90348117090952,Pub,6,8.7,3
6,Marble Hill,40.87655077879968,-73.91065965862988,4b5e451cf964a520f58629e3,Applebee's Grill + Bar,40.87368548,-73.90892769,American Restaurant,46,5.4,2
7,Woodlawn,40.89827261213809,-73.86731496814183,46212cb5f964a5208d451fe3,Rambling House,40.89843924053697,-73.86719657644849,Pub,35,8.3,1
8,Norwood,40.87722415599449,-73.87939073956818,4bb626e0f562ef3b2fb32f97,Sal's Pizzeria,40.87526935053057,-73.87956260705728,Pizza Place,11,7.9,2
9,Norwood,40.87722415599449,-73.87939073956818,4c6d5ce5e6b7b1f7af76a98e,Nicky's Coffee Shop,40.874932786273384,-73.87940404957489,Coffee Shop,11,7.8,3
10,Baychester,40.86685810725274,-73.83579759808124,4ac18d7ff964a5207a9720e3,TGI Fridays,40.86318917967161,-73.83380672336443,American Restaurant,55,5.9,1
11,City Island,40.84724670491817,-73.7864884526742,4b87d10cf964a5206ecd31e3,City Island Diner,40.84723782511342,-73.78624488983156,Diner,7,7.9,2
12,City Island,40.84724670491817,-73.7864884526742,4b6f7528f964a5205ff12ce3,The Snug,40.84719881133643,-73.78646581041706,Bar,5,6.5,3
13,Bedford Park,40.87018516497537,-73.88551218419138,4b171e79f964a5209cc223e3,Webster Cafe,40.86728998621904,-73.8836194832744,Diner,4,7.5,3
14,Bedford Park,40.87018516497537,-73.88551218419138,4baedf9ff964a520c0de3be3,Bedford Cafe Restaurant,40.87341387211989,-73.88919548256142,Diner,23,7.3,3
15,Fordham,40.86099679638657,-73.89642655981629,56819cbf498e3605c5fbab32,Checkers,40.862609,-73.901955,Burger Joint,2,7.3,3
16,Fordham,40.86099679638657,-73.89642655981629,4b954545f964a5203c9934e3,Fordham Restaurant,40.86273352895032,-73.89677774336448,Diner,6,7.3,2
17,Fordham,40.86099679638657,-73.89642655981629,4be332072fc7d13a2281083a,Burger King,40.86258428271915,-73.89618068933488,Fast Food Restaurant,4,5.8,2
18,Fordham,40.86099679638657,-73.89642655981629,4c8801830f3c236a2d4bef5c,Gyro King,40.86232369540614,-73.90042695931973,Greek Restaurant,13,6.1,2
19,Fordham,40.86099679638657,-73.89642655981629,4c0140ba94c1c9b667f8ba5f,McDonald's,40.861685,-73.892471,Fast Food Restaurant,6,5.7,3
20,Fordham,40.86099679638657,-73.89642655981629,4adba246f964a520962921e3,Applebee's Grill + Bar,40.86014004,-73.89111321,American Restaurant,33,5.5,3
21,East Tremont,40.84269615786057,-73.88735617532346,4d39a9bacc48224b57ae354f,North Star Cafe,40.84333558876738,-73.88698194733944,Café,21,8.4,1
22,East Tremont,40.84269615786057,-73.88735617532346,559585a6498e27a432a3d616,Checkers,40.845384398425686,-73.89061376452445,Burger Joint,0,6.2,1
23,High  Bridge,40.8366230107061,-73.92610209358138,515316ebe4b04c8e5fb65eb8,Checkers,40.83605933477685,-73.92287939786911,Burger Joint,0,6.1,1
24,Melrose,40.81975437059498,-73.90942160757443,4fa534cee4b0fed4819dc7d4,Perry Coffee Shop.,40.82343311944822,-73.91093964319761,Diner,7,7.5,3
25,Mott Haven,40.80623874935181,-73.91609987487583,57f4356d498e9b6bbc8a44f8,Milk Burger,40.803607,-73.919885,Burger Joint,0,7.6,3
26,Morrisania,40.82359198585537,-73.90150648943066,4bd7661835aad13ac3cf8ef3,White Castle,40.82196576899963,-73.89745368185666,Burger Joint,6,6.2,3
27,Soundview,40.82101219791406,-73.86574609554933,4b674194f964a5202f442be3,Jimbo's,40.82336160292545,-73.86814504394364,Breakfast Spot,13,7.5,2
28,Throgs Neck,40.815109258040096,-73.8163500215845,4bf471c198ac0f47190664a8,Muscle Maker Grill,40.819391233745925,-73.81729767562672,American Restaurant,18,9.1,2
29,Parkchester,40.83793782226733,-73.8560031053579,4cb8d3154352a1cd5a9988f5,Burger King,40.8375732,-73.8600513,Fast Food Restaurant,14,4.9,3
30,Westchester Square,40.84061949643274,-73.8421940760445,4b914c8ff964a5200eb133e3,Wendy's,40.842899804531605,-73.84535953402519,Burger Joint,4,7.8,3
31,Westchester Square,40.84061949643274,-73.8421940760445,4b64a9fff964a520b1c62ae3,White Castle,40.840287158930614,-73.84129308432539,Burger Joint,6,6.8,2
32,Westchester Square,40.84061949643274,-73.8421940760445,4d5f3bc6196ba093879f0b56,McDermott's Pub,40.84274284003696,-73.84602838861021,Pub,12,7.7,3
33,Westchester Square,40.84061949643274,-73.8421940760445,4b6a0d33f964a5205dc42be3,Tremont Diner,40.84005058086957,-73.83729837723685,Diner,20,7.6,2
34,Van Nest,40.84360847124722,-73.86629918075617,4bafc2f1f964a520a31e3ce3,Anthony's Pizza,40.845269327300976,-73.86609972700785,Pizza Place,5,7.2,3
35,Morris Park,40.847549063536384,-73.85040178030428,522b97a411d299ee4a3a10ca,Burger Time,40.84928804010554,-73.85358476993304,Burger Joint,9,8.0,3
