epoch,time_completed,mse,mae,r_2
1,2019-05-10 02:17:53,40.14099085863015,6.267832922313524,-45.33919550922251
2,2019-05-10 02:17:53,32.71669668118183,5.645334445289943,-36.768509732720474
3,2019-05-10 02:17:54,26.724179034561626,5.090099094639653,-29.85068232289963
4,2019-05-10 02:17:54,21.829615756733425,4.587363481936247,-24.200345352835058
5,2019-05-10 02:17:54,17.87636982703051,4.1367199673859965,-19.636675345841283
6,2019-05-10 02:17:54,14.64515126956595,3.7284680577983025,-15.90652157373562
7,2019-05-10 02:17:54,12.021305580204741,3.3606833482825236,-12.877525632565446
8,2019-05-10 02:17:54,9.898780193783937,3.028131748697032,-10.427259290086868
9,2019-05-10 02:17:54,8.176654207817537,2.73124384506889,-8.439218361145711
10,2019-05-10 02:17:54,6.793277720085619,2.466960610928743,-6.842233529514713
11,2019-05-10 02:17:54,5.642446081368175,2.2239430286573327,-5.513700995463896
12,2019-05-10 02:17:54,4.710364022537769,2.0085019974086595,-4.437695350588422
13,2019-05-10 02:17:54,3.958998379698323,1.8192818965082582,-3.5703106977015064
14,2019-05-10 02:17:54,3.3389836263600534,1.654116778166398,-2.854558937244717
15,2019-05-10 02:17:54,2.8381585329151124,1.5087630918751591,-2.276401013769338
16,2019-05-10 02:17:54,2.424280630580081,1.379510550291642,-1.7986158713747638
17,2019-05-10 02:17:54,2.0891603167258683,1.2665729232456373,-1.4117493439017963
18,2019-05-10 02:17:54,1.8294064603700964,1.1702190987960148,-1.1118866729394337
19,2019-05-10 02:17:54,1.612821702898624,1.0865245429329249,-0.8618588782560761
20,2019-05-10 02:17:54,1.429977139339908,1.0151982664025347,-0.6507811296178865
