,rating,venue,venue category,venue lat,venue lon
0,5.8,Townhouse Restaurant,Restaurant,40.876085887834265,-73.82886815052547
1,6.0,McDonald's,Burger Joint,40.88563631373264,-73.82683955509486
2,8.4,Smashburger,Burger Joint,40.884220851709706,-73.90033254824955
3,7.8,Riverdale Diner,Diner,40.88518285486936,-73.89948352054364
4,7.7,Land & Sea Restaurant,Seafood Restaurant,40.877884633097885,-73.90587282193539
5,8.7,The Bronx Public,Pub,40.87837659295958,-73.90348117090952
6,7.7,Land & Sea Restaurant,Seafood Restaurant,40.877884633097885,-73.90587282193539
7,5.4,Applebee's Grill + Bar,American Restaurant,40.87368548,-73.90892769
8,8.3,Rambling House,Pub,40.89843924053697,-73.86719657644849
9,7.9,Sal's Pizzeria,Pizza Place,40.87526935053057,-73.87956260705728
10,7.8,Nicky's Coffee Shop,Coffee Shop,40.87493278627338,-73.87940404957489
11,5.9,TGI Fridays,American Restaurant,40.86318917967161,-73.83380672336443
12,7.9,City Island Diner,Diner,40.84723782511342,-73.78624488983156
13,6.5,The Snug,Bar,40.84719881133643,-73.78646581041706
14,7.5,Webster Cafe,Diner,40.86728998621904,-73.8836194832744
15,7.3,Bedford Cafe Restaurant,Diner,40.87341387211989,-73.88919548256142
16,7.3,Checkers,Burger Joint,40.862609,-73.901955
17,7.3,Fordham Restaurant,Diner,40.862733528950315,-73.89677774336448
18,5.8,Burger King,Fast Food Restaurant,40.86258428271915,-73.89618068933488
19,6.1,Gyro King,Greek Restaurant,40.86232369540614,-73.90042695931973
20,5.7,McDonald's,Fast Food Restaurant,40.861684999999994,-73.892471
21,5.5,Applebee's Grill + Bar,American Restaurant,40.86014004,-73.89111321
22,8.4,North Star Cafe,Café,40.84333558876738,-73.88698194733944
23,6.2,Checkers,Burger Joint,40.845384398425686,-73.89061376452445
24,6.1,Checkers,Burger Joint,40.83605933477685,-73.92287939786911
25,7.5,Perry Coffee Shop.,Diner,40.82343311944822,-73.91093964319761
26,7.6,Milk Burger,Burger Joint,40.803607,-73.919885
27,6.2,White Castle,Burger Joint,40.82196576899963,-73.89745368185666
28,7.5,Jimbo's,Breakfast Spot,40.82336160292545,-73.86814504394364
29,9.1,Muscle Maker Grill,American Restaurant,40.819391233745925,-73.81729767562672
30,4.9,Burger King,Fast Food Restaurant,40.8375732,-73.8600513
31,7.8,Wendy's,Burger Joint,40.842899804531605,-73.84535953402519
32,6.8,White Castle,Burger Joint,40.840287158930614,-73.84129308432539
33,7.7,McDermott's Pub,Pub,40.84274284003696,-73.84602838861021
34,7.6,Tremont Diner,Diner,40.84005058086957,-73.83729837723685
35,7.2,Anthony's Pizza,Pizza Place,40.845269327300976,-73.86609972700785
36,8.0,Burger Time,Burger Joint,40.84928804010554,-73.85358476993304
37,6.6,The Stand,Burger Joint,40.84886768657605,-73.8545026138027
38,7.8,White Castle,Burger Joint,40.85900319252771,-73.8864944604998
39,6.4,Howl At The Moon,Piano Bar,40.85757292782422,-73.88644395048595
40,5.5,Applebee's Grill + Bar,American Restaurant,40.86014004,-73.89111321
41,7.4,Riverdale Steakhouse,Burger Joint,40.90669106081043,-73.90404852446945
42,8.3,Brewski's Bar & Grill,Bar,40.82664104244332,-73.82248599450232
43,9.1,Muscle Maker Grill,American Restaurant,40.819391233745925,-73.81729767562672
44,7.6,The Wicked Wolf,Pub,40.819687706247905,-73.81735925205254
45,7.9,The Kettle Black,Bar,40.62283909856897,-74.03141082168588
46,7.7,Cebu' Bar & Bistro,New American Restaurant,40.62181234249646,-74.03172698590136
47,6.2,Wendy's,Burger Joint,40.62230603400667,-74.02795895934105
48,6.2,Cappuccino Cafe,American Restaurant,40.62951041286022,-74.02853892492205
49,7.6,Barley,Burger Joint,40.73391856876721,-73.95494308195431
50,8.0,The Brew Inn,Gastropub,40.731031,-73.95419100000001
51,8.8,Anella,American Restaurant,40.73327191911455,-73.95801948957295
52,8.5,Black Rabbit,Bar,40.730057019874174,-73.95658766171472
53,8.0,21 Greenpoint,Bar,40.72973145449354,-73.95989263835487
54,8.6,Elder Greene,Bar,40.73062110833443,-73.95769664253253
55,8.4,Pelicana Chicken,Fried Chicken Joint,40.73145241009625,-73.95450966745076
56,6.9,Slick Willie,American Restaurant,40.72826009361087,-73.94946276978422
57,8.0,Le Gamin,French Restaurant,40.72828009841782,-73.95733511406732
58,5.3,McDonald's,Fast Food Restaurant,40.730389,-73.954109
59,5.6,Garden Spot Cafe,American Restaurant,40.73342100616382,-73.95820729218747
60,5.7,Hook & Cleaver,Steakhouse,40.72979131513016,-73.95827997516524
61,6.5,Wendy's,Burger Joint,40.577883101078065,-73.96083749519805
62,9.0,Roll N Roaster,Sandwich Place,40.584143455001524,-73.93955540497697
63,7.2,Dessert Palace,Burger Joint,40.583832572084106,-73.9442597274344
64,6.5,Applebee's Grill + Bar,American Restaurant,40.58388785,-73.94323487
65,6.9,Kouros Bay Diner,Diner,40.589760712285965,-73.93971282705247
66,6.7,Boeuf & Bun,Burger Joint,40.670465131620105,-73.94211271516724
67,6.5,Mendy's Crown Heights,Burger Joint,40.66895205842575,-73.94219623980871
68,6.2,Brooklyn Comfort,Restaurant,40.64359091385288,-73.97758608570983
69,8.9,The Double Windsor,Bar,40.66052504480458,-73.98028176631405
70,8.5,Krupa Grocery,American Restaurant,40.659957167936675,-73.98069569997391
71,6.5,Rhythm & Booze,Sports Bar,40.65759121594892,-73.97957961130055
72,8.4,Tom's Restaurant,Burger Joint,40.67453698094472,-73.96321631850594
73,7.9,Sunshine Co.,American Restaurant,40.674672496487844,-73.96332178669509
74,7.3,Branded Saloon,Whisky Bar,40.679394059795115,-73.96816545095966
75,7.5,Soda Bar,Bar,40.67831607945023,-73.96859389991735
76,7.6,MeMe’s Diner,American Restaurant,40.67767949351533,-73.96374983057217
77,7.0,The Vanderbilt,American Restaurant,40.6795177766136,-73.96836850595238
78,6.6,Penny House Cafe,Coffee Shop,40.67610945178208,-73.9634229196912
79,6.2,Cafe Shane on Washington,Breakfast Spot,40.67416730721465,-73.96311113619906
80,5.9,Neptune Diner II,Diner,40.676573883755935,-73.95926265892562
81,6.2,Checkers,Burger Joint,40.663216311030425,-73.90933962198693
82,8.1,Blue Collar,Burger Joint,40.711357717978856,-73.95771847756468
83,8.6,Trophy Bar,Bar,40.70776758662049,-73.95578164000341
84,8.8,Peter Luger Steak House,Steakhouse,40.70995790682886,-73.96229110893742
85,5.8,Checkers,Burger Joint,40.70883844615671,-73.95864531397821
86,6.2,Zamaan Hookah Bar and Lounge,Hookah Bar,40.707847422779714,-73.95581189700223
87,8.6,Alphaville,Bar,40.700655570348815,-73.92571111977057
88,8.6,The Wheelhouse,Sandwich Place,40.699996984427685,-73.92440070116781
89,6.3,OMG Pizza,Pizza Place,40.69815120337451,-73.92545194772752
90,6.3,Terry's Cafe & Grill,Diner,40.69572657117028,-73.92974543425366
91,8.8,Peaches HotHouse,Fried Chicken Joint,40.68333096983621,-73.94385322214498
92,7.6,Five Guys,Burger Joint,40.69464577757514,-73.99381926824576
93,7.5,B.GOOD,Fast Food Restaurant,40.694696696070686,-73.99380026153257
94,8.1,Clark's Restaurant,Diner,40.69753293863099,-73.9930435186682
95,8.4,Jack the Horse Tavern,American Restaurant,40.699939665968046,-73.99363890600424
96,6.5,Heights Cafe,American Restaurant,40.695200824137935,-73.99589275866926
97,7.0,Park Plaza Diner,Diner,40.69779079038551,-73.99168194893329
98,7.3,Henry Street Ale House,Pub,40.699251000000004,-73.992284
99,6.7,Bevacco,Italian Restaurant,40.69934693656375,-73.99213688652104
100,6.6,Teresa's Restaurant,Eastern European Restaurant,40.69523887631173,-73.9960558355363
101,6.2,O'Keefe's Bar & Grill,Bar,40.692061991244,-73.99118453406872
102,8.2,Moo Burger,Burger Joint,40.68584457538074,-73.99422868325722
103,8.6,Henry Public,Gastropub,40.690412864655855,-73.99641156481655
104,8.6,The Long Island Bar,Cocktail Bar,40.69064279618185,-73.99631850047321
105,9.2,Colonie,American Restaurant,40.69073324250775,-73.99596314123242
106,8.1,Vekslers,Bar,40.68534457902491,-74.00068713289978
107,7.3,Watty & Meg,American Restaurant,40.68556214714406,-73.99442741145907
108,7.4,Mex Carroll's Diner,Diner,40.685510319269106,-74.00250985465031
109,5.2,Jake's Bar B Que,BBQ Joint,40.685596849979476,-74.00240936363565
110,8.2,Bar Bruno,Bar,40.68351749855508,-73.9998304896896
111,8.1,Vekslers,Bar,40.68534457902491,-74.00068713289978
112,8.4,Jalopy Tavern,Bar,40.68135444334983,-74.00461728614081
113,9.0,East One Coffee Roasters,Coffee Shop,40.681128035266816,-73.99652634325895
114,7.9,Abilene,Lounge,40.67885737510264,-73.99761573857809
115,7.4,Mex Carroll's Diner,Diner,40.685510319269106,-74.00250985465031
116,6.5,Madcap Cafe,Café,40.68015460233981,-73.99696175291047
117,8.0,Cobble Hill Coffee Shop,Diner,40.683433578031774,-73.99542632829885
118,5.2,Jake's Bar B Que,BBQ Joint,40.685596849979476,-74.00240936363565
119,8.8,Fort Defiance,American Restaurant,40.676790242032546,-74.01354759045259
120,8.7,Grindhaus,American Restaurant,40.67923456519463,-74.01067398414692
121,8.6,Brooklyn Ice House,Dive Bar,40.67907998485091,-74.01090321157281
122,6.3,The Grill At Fairway Market,Burger Joint,40.67415171277811,-74.01768938840196
123,8.9,Buttermilk Channel,American Restaurant,40.67592444896118,-73.99906984462297
124,8.2,Hard Times Sundaes,Food Truck,40.67365533620753,-73.99936167286349
125,8.0,Bar Tano,Italian Restaurant,40.67136258535797,-73.99103934276492
126,7.2,The Roof,Bar,40.674795565892275,-73.98913632404678
127,9.3,Court Street Grocers,Food & Drink Shop,40.67628734443692,-73.99880699967053
128,8.6,Brooklyn Public House,Cocktail Bar,40.68953711323655,-73.96939820491572
129,8.5,No. 7,American Restaurant,40.68591599881639,-73.97316783643741
130,8.3,Cafe Paulette,French Restaurant,40.68974307741666,-73.97579775071402
131,6.4,Mullane's,Burger Joint,40.68716203939329,-73.97570117471452
132,7.0,The Quarter,American Restaurant,40.687331379040536,-73.97485336935813
133,8.1,Maison May,French Restaurant,40.689465652244714,-73.96929148484402
134,7.0,Fulton Hall,Bar,40.687847997661606,-73.97854208388212
135,7.5,Mo's Fort Greene,Bar,40.687086786502725,-73.97468663141944
136,5.9,Mega Bites Diner,Diner,40.68953187628527,-73.96943652826938
137,8.6,Bareburger,Burger Joint,40.671899897003335,-73.97762026256561
138,7.8,Burger Village,Burger Joint,40.670347670059506,-73.97875359658781
139,8.2,Brooklyn Burgers & Beer,Burger Joint,40.67450404381487,-73.98181864255947
140,8.0,Kiwiana,American Restaurant,40.67455920733161,-73.97574156333353
141,7.8,Bonnie's Grill,Burger Joint,40.67431661397844,-73.98218183269694
142,7.0,Bar Basic,Burger Joint,40.675241418058384,-73.9749497566003
143,6.0,Grand Canyon Diner,Diner,40.67150617247381,-73.97775755063513
144,7.2,Park Slope Ale House,Pub,40.6705311055026,-73.98193670895691
145,6.4,Wendy's,Burger Joint,40.6336,-73.92811999999999
146,6.9,Chillax Manhattan Beach Cafe,Café,40.578697,-73.938004
147,8.3,Five Guys,Burger Joint,40.59528911421907,-73.99997669541368
148,7.3,Casa Edesia Pizza and Grill,Italian Restaurant,40.600029694718316,-74.0025917316845
149,6.5,Burger King,Fast Food Restaurant,40.6021572477629,-73.99456393788559
150,6.3,Wendy's,Burger Joint,40.59547534081079,-74.00020211935043
151,7.4,BurgerFi,Burger Joint,40.61880988,-74.02133452
152,7.0,Nathan's Famous,Hot Dog Joint,40.618493525193294,-74.02185465130172
153,6.0,TGI Fridays,American Restaurant,40.58689753826717,-73.9289344923327
154,8.4,Putnam's Pub & Cooker,Pub,40.69320919801698,-73.96900829387259
155,8.6,Brooklyn Public House,Cocktail Bar,40.68953711323655,-73.96939820491572
156,8.7,Bar Bolinas,Restaurant,40.69334102737389,-73.9672447913059
157,6.6,Mark's Gourmet Burgers,Burger Joint,40.693259595834405,-73.9678761200858
158,7.6,Energy Fuel,Juice Bar,40.69317624981301,-73.97039494998354
159,6.3,Burger UrWay,Burger Joint,40.69318616991472,-73.97207987104555
160,8.1,Maison May,French Restaurant,40.689465652244714,-73.96929148484402
161,7.6,Johns Donuts and Coffee Shop,Diner,40.69349212192997,-73.96599395923141
162,8.6,Mike's Coffee Shop,Diner,40.6897851151352,-73.96538115407442
163,7.7,Gentleman Farmer Fort Greene,Restaurant,40.69322908174357,-73.97102274648931
164,5.9,Mega Bites Diner,Diner,40.68953187628527,-73.96943652826938
165,8.9,Shake Shack,Burger Joint,40.69212698255525,-73.98865815291195
166,7.6,Smashburger,Burger Joint,40.68978407181625,-73.97961795332886
167,7.9,Five Guys,Burger Joint,40.693676129803436,-73.98608685891288
168,7.7,Hard Times Sundaes,Burger Joint,40.691261,-73.98259
169,8.5,Junior's Restaurant,Diner,40.69001145156075,-73.98173375415746
170,8.9,Mile End Delicatessen,Sandwich Place,40.687549,-73.987018
171,6.3,Andrew's Classic Roadside Hamburgers,Burger Joint,40.69106041629913,-73.98290771677036
172,7.3,New Apollo Diner,Diner,40.69050855133503,-73.9878579745927
173,6.3,Dallas BBQ,BBQ Joint,40.69014068713885,-73.98686566328149
174,7.5,Luciano's,Italian Restaurant,40.693985660266506,-73.98542137408862
175,6.1,Kimoto Rooftop,Bar,40.691546803987315,-73.98447183825604
176,5.6,Dining Room,Bar,40.692119,-73.986621
177,6.4,Au Bon Pain,Bakery,40.69372084551512,-73.98655950648032
178,4.7,Burger King,Fast Food Restaurant,40.692053200000004,-73.9883598
179,8.2,Building on Bond,American Restaurant,40.686501872722566,-73.98515046129243
180,8.9,Mile End Delicatessen,Sandwich Place,40.687549,-73.987018
181,7.6,Smashburger,Burger Joint,40.68978407181625,-73.97961795332886
182,7.5,Next Level Burger,Burger Joint,40.68620707868772,-73.97875159246931
183,8.5,Junior's Restaurant,Diner,40.69001145156075,-73.98173375415746
184,7.7,Hard Times Sundaes,Burger Joint,40.691261,-73.98259
185,7.7,Hollow Nickel,Bar,40.68577926849693,-73.98187953276093
186,9.0,French Louie,French Restaurant,40.68805616208543,-73.98815885880983
187,6.3,Andrew's Classic Roadside Hamburgers,Burger Joint,40.69106041629913,-73.98290771677036
188,7.0,Fulton Hall,Bar,40.687847997661606,-73.97854208388212
189,9.0,St. Gambrinus Beer Shoppe,Bar,40.68502864547226,-73.97987252574748
190,6.3,Dallas BBQ,BBQ Joint,40.69014068713885,-73.98686566328149
191,6.1,Kimoto Rooftop,Bar,40.691546803987315,-73.98447183825604
192,6.9,Salem's Hour,Café,40.66064409489931,-73.95064813148792
193,6.3,Checkers,Burger Joint,40.678593757843814,-73.86683598160744
194,6.6,Checkers,Burger Joint,40.6496179,-73.9629977
195,7.4,Five Guys,Burger Joint,40.626714,-73.9170613
196,5.6,Vikki's Restaurant,Breakfast Spot,40.61957159423979,-73.91750662238279
197,8.2,Smashburger,Burger Joint,40.65363479879013,-73.87155128730647
198,6.4,Applebee's Grill + Bar,American Restaurant,40.65402971,-73.87383153
199,8.6,The Anchored Inn,Dive Bar,40.70924278935182,-73.93718161072704
200,7.8,Sweet Science,Bar,40.70648558841228,-73.94303739909941
201,8.4,Tradesman,Bar,40.70819190094133,-73.93995957206695
202,8.0,Juanchi's Burger,Burger Joint,40.71294743722325,-73.95890770379296
203,9.1,Walter Foods,American Restaurant,40.713443517170575,-73.9585818114249
204,8.1,DuMont Burger,Burger Joint,40.71361910775793,-73.96191390880837
205,8.7,The Commodore,American Restaurant,40.71408593052304,-73.95581668684504
206,8.1,Blue Collar,Burger Joint,40.711357717978856,-73.95771847756468
207,8.6,Shake Shack,Burger Joint,40.717372574839686,-73.96049213342168
208,8.6,Juliette,French Restaurant,40.71690816554318,-73.95909652424538
209,7.2,Quinoa Kitchen,Burger Joint,40.714087541690226,-73.96159171584075
210,8.7,Sweetwater Restaurant,Gastropub,40.71836741592055,-73.95999990648477
211,9.3,Emmy Squared,Pizza Place,40.712165999999996,-73.95570500000001
212,8.9,Rabbithole,American Restaurant,40.71225821376743,-73.9627964322234
213,8.0,Juniper,American Restaurant,40.71882498435637,-73.95875722232549
214,9.3,St. Anselm,American Restaurant,40.71414471294114,-73.95598405757656
215,8.4,MIDNIGHTS,Bar,40.71740674000676,-73.95839832495749
216,8.9,Pies 'n' Thighs,Fried Chicken Joint,40.711247914500696,-73.96144509176183
217,8.5,Crif Dogs,Hot Dog Joint,40.71699803215081,-73.95647564481764
218,7.0,Clinton Hall,Restaurant,40.71505295412933,-73.95921530663084
219,7.3,Teddy's Bar & Grill,Pub,40.71920479788144,-73.95843052939567
220,7.7,Surf Bar,Seafood Restaurant,40.717636287030345,-73.95871390484886
221,8.6,Egg,Breakfast Spot,40.716650270205996,-73.96172307176344
222,8.3,Snacky,Asian Restaurant,40.71431800559917,-73.9608467453687
223,9.3,St. Mazie,Cocktail Bar,40.71244618231341,-73.95595408442469
224,8.4,Abracadabra Brooklyn,Breakfast Spot,40.712030074261435,-73.96290598436741
225,7.6,Fabiane's,Café,40.71673082800953,-73.95893920263242
