,count,venue,venue category,venue lat,venue lon
0,5,Townhouse Restaurant,Restaurant,40.876085887834265,-73.82886815052547
1,10,McDonald's,Burger Joint,40.88563631373264,-73.82683955509486
2,8,Smashburger,Burger Joint,40.884220851709706,-73.90033254824955
3,52,Riverdale Diner,Diner,40.88518285486936,-73.89948352054364
4,19,Land & Sea Restaurant,Seafood Restaurant,40.877884633097885,-73.90587282193539
5,6,The Bronx Public,Pub,40.87837659295958,-73.90348117090952
6,0,The Stand,Burger Joint,40.8802,-73.906859
7,1,Dale Diner,Diner,40.878747814733146,-73.90420772832397
8,19,Land & Sea Restaurant,Seafood Restaurant,40.877884633097885,-73.90587282193539
9,0,Artuso's Pizza & Pasta,Burger Joint,40.87404335982298,-73.91038620930443
10,46,Applebee's Grill + Bar,American Restaurant,40.87368548,-73.90892769
11,35,Rambling House,Pub,40.89843924053697,-73.86719657644849
12,11,Sal's Pizzeria,Pizza Place,40.87526935053057,-73.87956260705728
13,11,Nicky's Coffee Shop,Coffee Shop,40.87493278627338,-73.87940404957489
14,0,Pizza & Burgers,Burger Joint,40.879197,-73.874648
15,0,BK co op city,Burger Joint,40.8658593,-73.8351668
16,0,Rally's,Burger Joint,40.867745,-73.831241
17,55,TGI Fridays,American Restaurant,40.86318917967161,-73.83380672336443
18,0,Sonora southwest Grill,Burger Joint,40.855864000000004,-73.85556700000001
19,7,City Island Diner,Diner,40.84723782511342,-73.78624488983156
20,5,The Snug,Bar,40.84719881133643,-73.78646581041706
21,4,Webster Cafe,Diner,40.86728998621904,-73.8836194832744
22,23,Bedford Cafe Restaurant,Diner,40.87341387211989,-73.88919548256142
23,0,Whitecastle,Burger Joint,40.866364387337825,-73.886282739298
24,0,"Kennedy's Chicken, Burgers & Gyros",Burger Joint,40.869726,-73.89040899999999
25,2,Burgers On Wheels,Food Truck,40.86621821300036,-73.88279730832807
26,0,Texas Chicken and Burgers,Burger Joint,40.85408937522653,-73.90789513640976
27,0,Jimbo's Hamburger Palace,Burger Joint,40.852294921875,-73.90898895263672
28,2,Checkers,Burger Joint,40.862609,-73.901955
29,6,Fordham Restaurant,Diner,40.862733528950315,-73.89677774336448
30,4,Burger King,Fast Food Restaurant,40.86258428271915,-73.89618068933488
31,0,Kennedy Fried Chicken,Burger Joint,40.8593415,-73.899227
32,13,Gyro King,Greek Restaurant,40.86232369540614,-73.90042695931973
33,6,McDonald's,Fast Food Restaurant,40.861684999999994,-73.892471
34,2,Jimbo's Hamburger Palace,American Restaurant,40.86053495845375,-73.89807072998336
35,33,Applebee's Grill + Bar,American Restaurant,40.86014004,-73.89111321
36,21,North Star Cafe,Café,40.84333558876738,-73.88698194733944
37,0,Checkers,Burger Joint,40.845384398425686,-73.89061376452445
38,0,PIZZA INC.,Burger Joint,40.8416748046875,-73.88347625732422
39,1,Texas Chicken & Burgers,Burger Joint,40.845787,-73.8841
40,0,Checkers,Burger Joint,40.83605933477685,-73.92287939786911
41,3,Anthony's Pizzeria,Pizza Place,40.83802901613783,-73.92615118267463
42,7,Perry Coffee Shop.,Diner,40.82343311944822,-73.91093964319761
43,0,Milk Burger,Burger Joint,40.803607,-73.919885
44,2,Crown Fried Chicken,Fried Chicken Joint,40.807946994398186,-73.91952040459516
45,6,White Castle,Burger Joint,40.82196576899963,-73.89745368185666
46,0,Crown Fried Chicken,Burger Joint,40.821001,-73.896896
47,13,Jimbo's,Breakfast Spot,40.82336160292545,-73.86814504394364
48,18,Muscle Maker Grill,American Restaurant,40.819391233745925,-73.81729767562672
49,14,Burger King,Fast Food Restaurant,40.8375732,-73.8600513
50,4,Wendy's,Burger Joint,40.842899804531605,-73.84535953402519
51,6,White Castle,Burger Joint,40.840287158930614,-73.84129308432539
52,12,McDermott's Pub,Pub,40.84274284003696,-73.84602838861021
53,20,Tremont Diner,Diner,40.84005058086957,-73.83729837723685
54,5,Anthony's Pizza,Pizza Place,40.845269327300976,-73.86609972700785
55,2,Burger One,Burger Joint,40.839771,-73.868449
56,9,Burger Time,Burger Joint,40.84928804010554,-73.85358476993304
57,19,The Stand,Burger Joint,40.84886768657605,-73.8545026138027
58,16,White Castle,Burger Joint,40.85900319252771,-73.8864944604998
59,13,Howl At The Moon,Piano Bar,40.85757292782422,-73.88644395048595
60,0,Burger Lodge,Burger Joint,40.856674,-73.884137
61,33,Applebee's Grill + Bar,American Restaurant,40.86014004,-73.89111321
62,11,Riverdale Steakhouse,Burger Joint,40.90669106081043,-73.90404852446945
63,0,Beyond Burgers,Burger Joint,40.854185448944435,-73.82879680791478
64,14,Brewski's Bar & Grill,Bar,40.82664104244332,-73.82248599450232
65,3,Fiddlers Elbow,Bar,40.82660255349218,-73.82248544920363
66,18,Muscle Maker Grill,American Restaurant,40.819391233745925,-73.81729767562672
67,19,The Wicked Wolf,Pub,40.819687706247905,-73.81735925205254
68,0,China Man Burger Stand,Burger Joint,40.87289864841601,-73.8649672395276
69,46,The Kettle Black,Bar,40.62283909856897,-74.03141082168588
70,60,Cebu' Bar & Bistro,New American Restaurant,40.62181234249646,-74.03172698590136
71,1,Wendy's,Burger Joint,40.62230603400667,-74.02795895934105
72,10,Cappuccino Cafe,American Restaurant,40.62951041286022,-74.02853892492205
73,1,burger up,Burger Joint,40.6227842477891,-74.03068069487965
74,0,Standard Burgers,Burger Joint,40.621577,-74.031828
75,3,Gallery Social Bar and Lounge,Cocktail Bar,40.628084532041036,-74.02916818603931
76,16,Barley,Burger Joint,40.73391856876721,-73.95494308195431
77,26,The Brew Inn,Gastropub,40.731031,-73.95419100000001
78,142,Anella,American Restaurant,40.73327191911455,-73.95801948957295
79,78,Black Rabbit,Bar,40.730057019874174,-73.95658766171472
80,27,21 Greenpoint,Bar,40.72973145449354,-73.95989263835487
81,8,Elder Greene,Bar,40.73062110833443,-73.95769664253253
82,15,Pelicana Chicken,Fried Chicken Joint,40.73145241009625,-73.95450966745076
83,12,Slick Willie,American Restaurant,40.72826009361087,-73.94946276978422
84,72,Le Gamin,French Restaurant,40.72828009841782,-73.95733511406732
85,24,McDonald's,Fast Food Restaurant,40.730389,-73.954109
86,7,Garden Spot Cafe,American Restaurant,40.73342100616382,-73.95820729218747
87,4,Hook & Cleaver,Steakhouse,40.72979131513016,-73.95827997516524
88,1,Wendy's,Burger Joint,40.577883101078065,-73.96083749519805
89,2,Palace Fried Chicken,Fried Chicken Joint,40.57775466203445,-73.96157553259849
90,142,Roll N Roaster,Sandwich Place,40.584143455001524,-73.93955540497697
91,9,Dessert Palace,Burger Joint,40.583832572084106,-73.9442597274344
92,23,Applebee's Grill + Bar,American Restaurant,40.58388785,-73.94323487
93,13,Kouros Bay Diner,Diner,40.589760712285965,-73.93971282705247
94,1,Burger Shop,Burger Joint,40.61683306987118,-73.95919261437253
95,0,BK Burger,Burger Joint,40.618215,-73.95835600000001
96,15,Boeuf & Bun,Burger Joint,40.670465131620105,-73.94211271516724
97,6,Mendy's Crown Heights,Burger Joint,40.66895205842575,-73.94219623980871
98,2,VIP Grill,Burger Joint,40.64145189422817,-73.98543918649351
99,9,Brooklyn Comfort,Restaurant,40.64359091385288,-73.97758608570983
100,164,The Double Windsor,Bar,40.66052504480458,-73.98028176631405
101,46,Krupa Grocery,American Restaurant,40.659957167936675,-73.98069569997391
102,29,Rhythm & Booze,Sports Bar,40.65759121594892,-73.97957961130055
103,2,212 Burgers,Burger Joint,40.660497,-73.980584
104,283,Tom's Restaurant,Burger Joint,40.67453698094472,-73.96321631850594
105,79,Sunshine Co.,American Restaurant,40.674672496487844,-73.96332178669509
106,69,Branded Saloon,Whisky Bar,40.679394059795115,-73.96816545095966
107,115,Soda Bar,Bar,40.67831607945023,-73.96859389991735
108,23,MeMe’s Diner,American Restaurant,40.67767949351533,-73.96374983057217
109,141,The Vanderbilt,American Restaurant,40.6795177766136,-73.96836850595238
110,1,Stocked Burger,Burger Joint,40.677219,-73.96357900000001
111,44,Penny House Cafe,Coffee Shop,40.67610945178208,-73.9634229196912
112,41,Cafe Shane on Washington,Breakfast Spot,40.67416730721465,-73.96311113619906
113,36,Neptune Diner II,Diner,40.676573883755935,-73.95926265892562
114,0,Checkers,Burger Joint,40.663216311030425,-73.90933962198693
115,5,Crown Chicken,Burger Joint,40.66507671181381,-73.91209136818333
116,106,Blue Collar,Burger Joint,40.711357717978856,-73.95771847756468
117,93,Trophy Bar,Bar,40.70776758662049,-73.95578164000341
118,671,Peter Luger Steak House,Steakhouse,40.70995790682886,-73.96229110893742
119,16,Checkers,Burger Joint,40.70883844615671,-73.95864531397821
120,1,AFC Grilled Chicken,Burger Joint,40.70864260196686,-73.95842671394348
